k,gamma
2166,-0.1988389726054706
2167,-0.2000898300905329
2168,-0.19987211711694566
2169,-0.20053974794200166
2170,-0.199719699161439
2171,-0.2011472004478378
2172,-0.2004100825563333
2173,-0.19964540020927812
2174,-0.1997025881115643
2175,-0.1994094688382798
2176,-0.1991643616139318
2177,-0.19883380115743632
2178,-0.19875556255142368
2179,-0.19896450062930648
2180,-0.19787131738637034
2181,-0.19809755685956054
2182,-0.19839761341353046
2183,-0.19733774102678694
2184,-0.19729946334337622
2185,-0.19820260290480904
2186,-0.1984840101745972
2187,-0.1977082659880122
2188,-0.19757859670574313
2189,-0.19654768459288446
2190,-0.1960122045374531
2191,-0.19619439044729725
2192,-0.1962350834828287
2193,-0.1994544756654669
2194,-0.20139305365449095
2195,-0.2018256264568687
2196,-0.20284468506191095
2197,-0.20209945265311852
2198,-0.2013254661290549
2199,-0.2008284454151623
2200,-0.20029276635317042
2201,-0.20053594763077476
2202,-0.20034115458829865
2203,-0.20017946244731893
2204,-0.20218922981684814
2205,-0.2027863971980053
2206,-0.20487919046107736
2207,-0.20420432823759066
2208,-0.20315414382176908
2209,-0.20513862537167038
2210,-0.2041519951339549
2211,-0.20328476120712544
2212,-0.2025950299887822
2213,-0.20209018847776192
2214,-0.2016170868404105
2215,-0.2018561952457008
2216,-0.20325830981408854
2217,-0.20250168931107249
2218,-0.20147885017148032
2219,-0.20393676784976567
2220,-0.20323014253454763
2221,-0.2031560672179246
2222,-0.20514249985949967
2223,-0.20643238212011408
2224,-0.20607636262370427
2225,-0.2059166789940444
2226,-0.20529369558420893
2227,-0.20451036490181604
2228,-0.20548621865365574
2229,-0.20460854194501873
2230,-0.2042481677247492
2231,-0.2036482264810539
2232,-0.2030664338441454
2233,-0.20251715111560784
2234,-0.20393295601416422
2235,-0.20313655686621926
2236,-0.20313758114040295
2237,-0.2051328530875818
2238,-0.20496083404988236
2239,-0.20411425340372782
2240,-0.20399354115869336
2241,-0.20345420960064234
2242,-0.20454359682687712
2243,-0.20418214492813352
2244,-0.2045031288899267
2245,-0.20599061471174776
2246,-0.2053367308993272
2247,-0.2051007002960756
2248,-0.20485297809547684
2249,-0.20384630260936845
2250,-0.2030742063949414
2251,-0.20261387115813756
2252,-0.20199501729272307
2253,-0.2011631573005881
2254,-0.20094071266084856
2255,-0.20031922808859653
2256,-0.1992817504061618
2257,-0.20014455665624714
2258,-0.20314977975961424
2259,-0.2030373715675172
2260,-0.2032300753619494
2261,-0.20232836851202712
2262,-0.20169846217417042
2263,-0.20096478224915557
2264,-0.200734221763442
2265,-0.20162117779505767
2266,-0.20110099946977605
2267,-0.200079094823524
2268,-0.20008280758851935
2269,-0.2016182334412982
2270,-0.20142860514921004
2271,-0.2013986875252093
2272,-0.20049425625334413
2273,-0.2010614417604654
2274,-0.20234065994075523
2275,-0.2023519648606292
2276,-0.20222195273636465
2277,-0.20150029382724788
2278,-0.20238415707081653
2279,-0.20207217296881644
2280,-0.20124855261617658
2281,-0.2006974904278525
2282,-0.2018730351128055
2283,-0.20133936716286385
2284,-0.20199735984721215
2285,-0.20157329862415033
2286,-0.2005785627815224
2287,-0.2005739045364284
2288,-0.19973933872698155
2289,-0.19896219259870748
2290,-0.19889872942363004
2291,-0.19805907864090327
2292,-0.1970415391765664
2293,-0.1964542542629134
2294,-0.19637409265200922
2295,-0.19691873215994268
2296,-0.19701068012026626
2297,-0.19809336717936646
2298,-0.19712217777223667
2299,-0.19679610465410047
2300,-0.19656714328413094
2301,-0.1973967865818838
2302,-0.198007480925429
2303,-0.19844047861530195
2304,-0.19896873463756498
2305,-0.19803411329867096
2306,-0.19808735199156746
2307,-0.19804859372775593
2308,-0.19742361198112834
2309,-0.19809606167444285
2310,-0.19800691098831558
