k,gamma
1034,-0.18530893700009504
1035,-0.18353293530873518
1036,-0.18223955710262654
1037,-0.18269389801695368
1038,-0.1813972251267197
1039,-0.1810289560480128
1040,-0.18398047288194397
1041,-0.182950792694163
1042,-0.18354965523940694
1043,-0.18546871975682228
1044,-0.1837871210151721
1045,-0.19029882589930797
1046,-0.1914402518529435
1047,-0.1897028147132516
1048,-0.18880686490848891
1049,-0.18887112611266627
1050,-0.1883002995303342
1051,-0.18694390756955506
1052,-0.1856641252443483
1053,-0.18587092576432018
1054,-0.18424955543155047
1055,-0.1865470651401173
1056,-0.18525645987885567
1057,-0.18467704010848296
1058,-0.18385276233061168
1059,-0.19089674128315756
1060,-0.1890656598805387
1061,-0.18732030797725954
1062,-0.18548180522798247
1063,-0.1849948280632141
1064,-0.18620904984865072
1065,-0.1917142360555786
1066,-0.1913594020456857
1067,-0.1903303450946297
1068,-0.19028658183756728
1069,-0.18999412246062922
1070,-0.18819178047078294
1071,-0.18881622260727673
1072,-0.18841143086437748
1073,-0.1876189238028045
1074,-0.18897906280632965
1075,-0.18914722415997698
1076,-0.1930435290825717
1077,-0.19126099800510038
1078,-0.18986077867178547
1079,-0.18914543194089392
1080,-0.19262350143271567
1081,-0.1908060128873778
1082,-0.19084329643065384
1083,-0.19045823537495293
1084,-0.19030271218599615
1085,-0.18875127733573227
1086,-0.18691712386517753
1087,-0.18557981429324233
1088,-0.1839827405889329
1089,-0.1831524261237057
1090,-0.18219758790522597
1091,-0.18182819312041656
1092,-0.182222464677501
1093,-0.18072576082032255
1094,-0.17892798881279182
1095,-0.1776177585822861
1096,-0.17725637824227855
1097,-0.17695461963409234
1098,-0.17591608905582196
1099,-0.17614942717415547
1100,-0.18136446047882104
1101,-0.17979378709921565
1102,-0.1787254506964646
1103,-0.17811586224171339
1104,-0.17863139930559988
1105,-0.18097908089893003
1106,-0.18079290358703798
1107,-0.1800576521846721
1108,-0.1818692416223694
1109,-0.18045956309439956
1110,-0.1799759978669797
1111,-0.17957134406300362
1112,-0.17855623427814507
1113,-0.17689484488828178
1114,-0.17679828193103372
1115,-0.1749817555274374
1116,-0.17382925292520007
1117,-0.17221192634234897
1118,-0.17438133656342633
1119,-0.17391081094978733
1120,-0.17332638796931507
1121,-0.17208411303772816
1122,-0.17104509187220482
1123,-0.1700847865921941
1124,-0.17069135300261537
1125,-0.16935660462165097
1126,-0.1703472114169485
1127,-0.17032511765460953
1128,-0.16863659063605735
1129,-0.16736155832470792
1130,-0.1666923307947662
1131,-0.1652684723857924
1132,-0.16400743718335878
1133,-0.16253372496474397
1134,-0.16276840698852857
1135,-0.16173526975901775
1136,-0.16030516868201247
1137,-0.16085747357126554
1138,-0.15914274321181995
1139,-0.15853604465721924
1140,-0.15756353910372772
1141,-0.15767777926068988
1142,-0.15846210715723072
1143,-0.15965256561412444
1144,-0.15957196745400523
1145,-0.15888579151646717
1146,-0.15956270112707388
1147,-0.16023726940369043
1148,-0.16201437099129945
1149,-0.1623713226069613
1150,-0.16103344566065178
1151,-0.16189394077257943
1152,-0.161391721336212
1153,-0.16103294531074372
1154,-0.15937170599548595
1155,-0.16643916862178687
1156,-0.16787054926245498
1157,-0.17035205412668764
1158,-0.16864940799042055
1159,-0.1670267404261937
1160,-0.16683091971710778
1161,-0.16534328565234616
1162,-0.16656859627288903
1163,-0.164857412016347
1164,-0.16645040294951727
1165,-0.16595570299917625
1166,-0.1644769045059766
1167,-0.16474251533904255
1168,-0.163552823662072
1169,-0.16259164002587181
